Name,Agriculture,Mining,Utilities,Construction,Manufacturing,Wholesale,Retail,Transportation,Information,Finance,Professional,Education_Healthcare,Entertainment,Other,Government,Final_Use,Total_ Output
"Agriculture, forestry, fishing, and hunting",103929,97,0,1667,252993,1376,2230,95,1,52,1680,864,8385,74,2773,73454,449670
Mining,2629,31854,37088,12533,314942,43,63,1919,281,4380,1488,455,1220,511,17835,-13184,414057
Utilities,4910,2483,2755,2912,51399,3733,10146,6161,4301,84457,10624,23473,11593,4060,27730,264489,515226
Construction,2899,4686,4681,175,12340,1058,2503,5550,2927,136940,1864,2550,2211,3193,74902,1187490,1445967
Manufacturing,79825,30332,14713,308358,1929793,35287,54444,136538,108673,56487,145915,181955,148251,54883,326581,2042406,5654440
Wholesale trade,26919,5975,3886,55190,287857,35904,27093,32353,29053,16117,25388,40861,24683,9474,41650,842298,1504702
Retail trade,217,179,299,90467,13441,676,7762,5272,388,7631,2598,1628,8257,5103,608,1361911,1506437
Transportation and warehousing,15189,9450,19653,24126,151743,57375,75463,133966,19715,31060,52582,26124,17501,6269,63050,400968,1104234
Information,621,561,1230,6182,24943,15071,21517,6045,243759,65127,79159,29871,13613,9254,78251,703148,1298348
"Finance, insurance, real estate, rental, and leasing",24192,11980,9746,41398,90931,93072,166485,86088,74759,915590,259948,340887,114602,92000,138151,3208192,5668020
Professional and business services,6804,22317,18751,63241,450987,180630,176863,71644,156553,483159,582549,275973,165880,45925,276337,1105866,4083481
"Educational services, health care, and social assistance",570,0,117,27,93,1143,11165,70,1117,53,821,29210,1934,2555,44907,2669454,2763236
"Arts, entertainment, recreation, accommodation, and food services",746,718,2538,3518,23230,8058,6713,3862,39270,54719,72506,35088,32430,4277,36296,1056381,1380350
"Other services, except government",1301,438,600,6776,17322,15636,12674,5558,14407,34929,36156,37433,13629,7280,27853,592200,824192
Government,49,6,382,34,5273,8278,6682,15958,2289,15954,9032,6908,6962,1698,9372,2681692,2770568
"Scrap, used and secondhand goods",-43,-18,245,1154,14878,0,44,3497,1,-31,139,388,9,14770,-47,-24233,10754
Noncomparable imports and rest-of-the-world adjustment [1],737,910,807,2681,17114,3684,2108,17719,12284,34024,7908,809,2682,284,15470,-115882,3340
Total Value Added,175236,327796,284331,732120,2170275,1093237,1056781,542528,839919,3656369,2207303,1501152,709970,401652,2337979,18036648,0
Total Industry Output,446731,449761,401824,1352559,5829554,1554260,1640735,1074823,1549697,5597018,3497660,2535628,1283813,663262,3519698,0,31397023
